CUSTOMER_ID,Company,CARD_REG_DATE,GENDER,DOB,Age,STATE_CODE,POST_CODE,NO_OF_TRIPS,TOWN,Spent amount
1000032547,MED +,9/12/2006 0:00,Female,9/15/1984,29,QLD,4701,4,Kyabram,69.37
1000032548,DR.REDDYS,9/12/2006 0:00,Female,7/15/1974,39,WA,6030,17,Hawthorn East,498.5
1000032549,RELEGARE,9/12/2006 0:00,Female,4/1/1959,54,NSW,2580,1,Revesby,1.56
1000032550,GSK,9/12/2006 0:00,Male,5/16/1978,35,VIC,3043,2,Willow Grove,160.98
1000032551,GSK,9/12/2006 0:00,Male,12/16/1978,34,VIC,3190,12,mona vale,289.1
1000032552,APPOLO,7/9/2007 0:00,Female,7/21/1987,26,NSW,2558,6,Rowville,690.45
1000032553,CIPLA,9/12/2006 0:00,Female,11/7/1986,26,VIC,3136,6,MINNAMURRA,160.89
1000032554,APPOLO,9/12/2006 0:00,Male,4/29/1987,26,QLD,4575,8,Lake Illawarra,253.23
1000032555,APPOLO,9/12/2006 0:00,Male,3/4/1958,55,NSW,2322,1,Vermont South,69.77
1000032556,MED +,9/12/2006 0:00,Female,8/15/1952,61,ACT,2913,2,Blackburn Nth,232.31
1000032557,GSK,9/12/2006 0:00,Female,12/26/1984,28,QLD,4814,1,Rowville,274.66
1000032558,MED +,9/12/2006 0:00,Male,2/17/1956,57,VIC,3370,1,Box Hill North,42.83
1000032559,GENO,9/12/2006 0:00,Female,4/11/1979,34,VIC,3875,1,FOREST HILL,79.48
1000032560,DR.REDDYS,9/12/2006 0:00,Female,3/12/1985,28,NSW,2641,1,BERWICK,26.88
1000032561,RELEGARE,9/12/2006 0:00,Female,2/20/1962,51,QLD,4118,3,Buderim,408.65
1000032562,GUARDIAN,9/12/2006 0:00,Female,1/10/1952,61,VIC,3793,2,kawungan,95.71
1000032563,RELEGARE,9/12/2006 0:00,Female,7/10/1965,48,QLD,4504,2,scarness,75.59
1000032564,GUARDIAN,9/12/2006 0:00,Female,7/20/1948,65,NSW,2176,4,Kuluin,83.87
1000032565,GENO,9/12/2006 0:00,Female,9/30/1949,63,NSW,2750,2,Menai,92.28
1000032566,RANBAXY,9/12/2006 0:00,Male,10/21/1948,64,NSW,2137,2,Warilla,249.46
1000032567,MED +,9/12/2006 0:00,Male,5/31/1972,41,NSW,2577,6,BARRACK HEIGHTS,251.45
1000032568,RELEGARE,9/12/2006 0:00,Female,8/13/1989,24,VIC,3995,1,PRIMBEE,32.49
1000032569,GUARDIAN,9/12/2006 0:00,Female,1/29/1951,62,NSW,2154,1,Flinders,79.36
1000032570,DR.REDDYS,9/12/2006 0:00,Female,11/10/1960,52,NSW,2749,6,PelicanWaters,567.38
1000032571,GENO,9/12/2006 0:00,Female,3/2/1953,60,VIC,3351,16,Bokarina,1384.32
1000032572,GSK,9/12/2006 0:00,Female,10/1/1970,42,NSW,2533,18,warilla,666.1
1000032573,GENO,9/12/2006 0:00,Female,7/17/1978,35,NSW,2069,1,como,2.66
1000032574,GSK,9/12/2006 0:00,Female,3/30/1988,25,NSW,2077,7,Buderim,739.84
1000032575,MED +,9/12/2006 0:00,Male,5/20/1955,58,NSW,2759,1,SHELLCOVE,34.31
1000032576,CIPLA,9/12/2006 0:00,Female,12/14/1966,46,QLD,4551,1,Caloundra,167.28
1000032577,RELEGARE,9/12/2006 0:00,Female,11/26/1956,56,VIC,3214,1,Warilla,30.68
1000032578,GENO,9/12/2006 0:00,Male,5/3/1969,44,QLD,4511,5,BARRACK HEIGHTS,183.65
1000032579,MED +,9/12/2006 0:00,Female,8/29/1968,45,WA,6111,10,Sydenham,228.21
1000032580,RELEGARE,9/12/2006 0:00,Female,2/6/1949,64,SA,5066,7,TAYLORS LAKES,325.44
1000032581,GUARDIAN,9/12/2006 0:00,Female,5/27/1957,56,QLD,4575,3,Seabrook,170
1000032582,GUARDIAN,9/12/2006 0:00,Female,12/30/1984,28,WA,6057,15,Sunbury,373.72
1000032583,GENO,9/12/2006 0:00,Female,8/12/1987,26,NSW,2502,4,Yarrawonga,269.79
1000032584,APPOLO,9/12/2006 0:00,Female,6/17/1976,37,QLD,4065,1,NUMURKAH,99.96
1000032585,GSK,9/12/2006 0:00,Female,1/1/1962,51,NT,850,3,cobram,153.75
1000032586,GSK,9/12/2006 0:00,Male,2/7/1986,27,NSW,2680,1,Boat Harbour,57.46
1000032587,GENO,9/12/2006 0:00,Female,2/23/1957,56,QLD,4300,1,BULLEEN,10.13
1000032588,APPOLO,9/12/2006 0:00,Female,5/1/1988,25,NSW,2099,4,Drouin,124.23
1000032589,GSK,9/12/2006 0:00,Male,5/1/1986,27,SA,5118,3,darnum,89.72
1000032590,GSK,9/12/2006 0:00,Male,7/10/1991,22,NSW,2650,1,Darnum,8.49
1000032591,GUARDIAN,9/12/2006 0:00,Female,1/12/1983,30,VIC,3136,6,Catani,213.41
1000032592,CIPLA,9/12/2006 0:00,Female,9/25/1969,44,QLD,4519,1,pakenham,120.32
1000032593,RANBAXY,9/12/2006 0:00,Female,7/15/1953,60,NSW,2550,6,Upper Beconsfield,78.57
1000032594,RANBAXY,9/12/2006 0:00,Female,3/24/1973,40,SA,5159,3,Torquay,448.27
1000032595,CIPLA,9/12/2006 0:00,Female,12/17/1985,27,NSW,2646,1,Pakenham,49.04
1000032596,GUARDIAN,9/12/2006 0:00,Female,11/25/1975,37,VIC,3151,5,Modella,321.25
1000032597,RELEGARE,9/12/2006 0:00,Female,3/6/1970,43,QLD,4074,1,Neerim Junction,45.33
1000032598,MED +,9/12/2006 0:00,Female,6/30/1956,57,NSW,2759,5,Cohuna,213.55
1000032599,GUARDIAN,9/12/2006 0:00,Female,8/14/1977,36,NSW,2211,1,Pakenham,52.62
1000032600,GUARDIAN,9/12/2006 0:00,Male,3/24/1961,52,NSW,2452,3,Bell Park,206.86
1000032601,RANBAXY,9/12/2006 0:00,Female,7/23/1975,38,SA,5725,3,Ballarat,199.36
1000032602,RELEGARE,9/12/2006 0:00,Male,10/14/1970,42,NSW,2480,1,Ballarat,43.96
1000032603,DR.REDDYS,9/12/2006 0:00,Male,2/1/1960,53,VIC,3082,3,Mt.Egerton,145.42
1000032604,DR.REDDYS,9/12/2006 0:00,Male,1/28/1962,51,VIC,3911,3,berwick,398.63
1000032605,GENO,9/12/2006 0:00,Male,6/27/1948,65,QLD,4305,2,Pakenham,243.15
1000032606,RELEGARE,9/12/2006 0:00,Male,8/8/1970,43,NSW,2650,4,Pakenham,452.76
1000032607,MED +,9/12/2006 0:00,Male,10/21/1947,65,SA,5109,6,Gembrook,645.77
1000032608,GENO,9/12/2006 0:00,Female,9/10/1980,33,NSW,2795,7,MT PLEASANT,399.64
1000032609,APPOLO,9/12/2006 0:00,Male,10/24/1931,81,WA,6232,2,pakenham,457.29
1000032610,GSK,9/12/2006 0:00,Male,7/1/1940,73,NSW,2075,10,Delacombe,755.93
1000032611,GUARDIAN,9/12/2006 0:00,Male,3/31/1961,52,NSW,2152,1,ballarat,31.2
1000032612,RELEGARE,10/25/2006 0:00:00,Male,10/7/1988,24,QLD,4818,11,Buninyong,123.36
1000032613,GENO,11/7/2006 0:00,Female,11/29/1989,23,NSW,2283,1,Mulgrave,351.89
1000032614,DR.REDDYS,11/7/2006 0:00,Female,7/5/1973,40,NSW,2541,1,Mt Helen,49.9
